text,label,label_by_model,notes
[Highlight] Nathan Lukes hits a solo homer to make it 3-0 for the Jays,Media & Highlights,Media & Highlights,
[Highlight] David Fry hits a solo shot to tie the game at 1,Media & Highlights,Media & Highlights,
Kahlil Watson makes a great running catch in his major league debut,Media & Highlights,Media & Highlights,
[Highlight] Brooks Lee hits his 12th home run of the year! Twins take a 4-0 lead in the 1st,Media & Highlights,Media & Highlights,
[MLBTR] Cardinals Designate Chris Roycroft For Assignment,News & Official,News & Official,
Guardians prospect Cooper Ingle is 4-4 today with 3 home runs and a double,Media & Highlights,Facts & Analysis,Could be Facts & Analysis because of statistical performance fact
[LASR] Finding player comps from this year to 20 years ago,Facts & Analysis,Facts & Analysis,
"[Sheehan] Many of the greatest players ever were good major leaguers at 19-21. MLB’s draft proposal would make it almost impossible for a player to debut before he is 22. I think it would also wreck free agency, as almost no player would get there before age 28.",Discussions & Opinions,Discussions & Opinions,
"MLB Seeks Sweeping Draft Overhaul, Including End Of High School Eligibility",News & Official,News & Official,
"[Gonzalez] Sources: MLB proposes international draft as part of CBA talks. MLB's int’l draft would be restricted to players who are at least 18 years old, as opposed to 16 under the current system. It would consist of 12 hard-slot rounds, with an initial signing-bonus pool totaling $200m",News & Official,News & Official,
[Highlight] Vlad Guerrero Jr hits just his 4th homer of the year to open the scoring,Media & Highlights,Media & Highlights,
"As a ballpark rises in Las Vegas, owner John Fisher is pitching his A’s — and himself",News & Official,News & Official,
Minor league baseball team York Revolution forfeits LGBT Night game after players refuse to wear jerseys with rainbow sleeves,News & Official,News & Official,
Umpire denies Jasson Dominguez a challenge on a pitch that was 6 inches outside of the strike zone,Media & Highlights,Media & Highlights,Could be Facts & Analysis because it references strike-zone location
"We asked MLB fans about potential lockouts, labor talks and more. Here’s what you had to say (Gift Article)",Facts & Analysis,Discussions & Opinions,Could be Discussions & Opinions because of community opinions
"[Matheson] Anthony Santander is scheduled to start hitting ""either this weekend or next"", John Schneider said. So, sometime soon. ""There's a shot he could definitely be a factor."" Long road from here, which will essentially be a full, slow, Spring Training build-up. We'll see.",Discussions & Opinions,News & Official,Could be News & Official because of injury/recovery update
"Kyle Stowers now has 4 games as a Marlin with 10+ total bases, tied with Giancarlo Stanton for the most in franchise history",Facts & Analysis,Facts & Analysis,
J-Rod day to day after exiting early with hamstring spasm,News & Official,News & Official,
[TJStats] Top 100 MLB Prospect Newcomers & Risers,Facts & Analysis,Facts & Analysis,Rankings are based on statistical evaluation
Daniel Espino's Emotional MLB Debut. Full Tom Hamilton Call,Media & Highlights,Media & Highlights,
[Serious] Division Discussion Thread - The Centrals,Discussions & Opinions,Discussions & Opinions,
Official 2026 All-Star Game Hats and Gear Released,News & Official,News & Official,
[OC] Does your team win by a lot? Do they lose by a lot?,Facts & Analysis,Facts & Analysis,
[OC] Team Performance on Thursdays vs Non-Thursdays,Facts & Analysis,Facts & Analysis,
Sal Stewart AMA!! The Cincinnati Reds standout will be joining us today to answer YOUR questions!!,Discussions & Opinions,Discussions & Opinions,
"Last Sunday, Jackson Chourio became the 20th-youngest player (and youngest Brewer) to hit 50 career HR",Facts & Analysis,Facts & Analysis,
The Nationals over their last 11 series: 9-1-1,Facts & Analysis,Facts & Analysis,
???? Results of the Baseball European Federation Cups 2026 – Slovakia Group. This tournament corresponds to the fourth tier of European club baseball.,Facts & Analysis,News & Official,Could be News & Official because of showing tournament results/news
Do player's contracts pause if we have a full season lockout next year?,Discussions & Opinions,Discussions & Opinions,
"[Baer] One year later, the Rafael Devers trade is a win-win — just not for the Red Sox or Giants",Discussions & Opinions,Discussions & Opinions,"Journalist-written article, but it is an argument/opinion"
Has there been an analytics exodus?,Discussions & Opinions,Discussions & Opinions,
All-Star Rosters by fWAR: Week of 2026-06-17,Facts & Analysis,Facts & Analysis,
"Daniel Espino has his first big league strikeout. Once one of baseball's best pitching prospects, two shoulder surgeries kept him out of game action for 1,241 days.",Media & Highlights,Media & Highlights,"Contains a statistical note (1,241 days) but centers on the strikeout moment itself"
[Pitching Highlight] Kyle Bradish's career high 12 K outing,Media & Highlights,Media & Highlights,
Zack Gelof homers in the 9th to extend his hit streak to 21 games,Media & Highlights,Media & Highlights,
Dominic Canzone and Cole Young back to back Home Runs on back to back pitches to start the 9th,Media & Highlights,Media & Highlights,
"With the White Sox losing twice in a row to the Yankees by 5+ runs, all teams in the AL Central now have negative run differential",Facts & Analysis,Facts & Analysis,
The Pirates bat around the order against the A's in the Top of the 7th,Facts & Analysis,Media & Highlights,Could be Media & Highlights because of saying about in-game events
"Final line for Kyle Bradish tonight: 7.2 IP, 5 H, 1 ER, 2 BBs, career high-12 Ks. 100 P-65 strikes, season ERA at 4.00",Facts & Analysis,Facts & Analysis,
Marcell Ozuna blasts a 448-foot solo dinger to left-center in the 7th,Media & Highlights,Media & Highlights,
(with replays) Tyler O'Neill takes one away from Cal Raleigh in the 6th,Media & Highlights,Media & Highlights,
[Kowatsch] Julio Rodriguez exits the game before the top of the seventh. Victor Robles moves to center field and Rob Refsnyder in at right.,News & Official,News & Official,
"Paul Goldschmidt this season: .301/.368/.560, 1.5 bWAR, 1.7 fWAR, 151 OPS+ and a 153 wRC+. He is being paid $4m by the Yankees.",Facts & Analysis,Facts & Analysis,
No. 1 prospect Jesus Made leaves game with quad contusion,News & Official,News & Official,
The Orioles execute a nice relay to get Connor Joe trying to make it up to the third on an E8,Media & Highlights,Media & Highlights,
"[Highlight] Ryan O'Hearn hits a 2-run home run, he now has 4 RBI on the night!",Media & Highlights,Media & Highlights,
The Red Sox are 1-39 in games where they trail by 2+ runs at any point in a game,Facts & Analysis,Facts & Analysis,
"While wearing ump cam, home plate umpire Ryan Wills it hit by a foul ball, and William Contreras arises to check on him",Media & Highlights,Media & Highlights,
[Highlight] Gunnar Henderson's 15th homer of the year gives the Orioles the lead!,Media & Highlights,Media & Highlights,
Sam Antonacci turns on his third homer of the year to cut the Yankee lead to 5,Media & Highlights,Media & Highlights,
Red Sox offense so far this series (they also had 7 walks in today's game in which they were shut out),Facts & Analysis,,
"[Langs] Colson Montgomery reached 40 career home runs in 140 games, the fewest games to the mark in White Sox history. He hit his first homer on 7/22/25. Since that day, he’s second in MLB in home runs, behind only Kyle Schwarber (49)",Facts & Analysis,,
Cooper Pratt hits the first RBI of his career,Media & Highlights,,
(Inquiry) What’s the most amount of walks for a team that still ended up shut out?,Facts & Analysis,,
Blue Jays Louis Varland strikes out the side on 10 pitches to close out the game and get his 14th save of the season,Media & Highlights,,
"The Red Sox are the 2nd time in MLB history since 1898 to leave 13+ runners on base and score 1 or 0 runs in back-to-back games, joining the 1919 Washington Nationals.",Facts & Analysis,,"If it is a simple statement of an event, use ""News & Official"". If it interprets the event, use ""Facts & Analysis""."
The Red Sox had 13 on base tonight. They lost 3-0.,Facts & Analysis,,
Gerrit Cole on how his stuff and pitch mix differs after Tommy John surgery,Media & Highlights,,
Colson Montgomery hits his second homer of the night to cut the Yankees lead to 6,Media & Highlights,,
[Highlight] Matt Olson is playing in right field for the first time since 2017,Media & Highlights,,
Everson Pereira makes an insane catch as he crashes into the wall,Media & Highlights,,
"[Highlight] After hitting his first career homerun, Sterlin Thompson hits his second homer on the next AB",Media & Highlights,,
[Highlight] Jazz Chisholm Jr. homers and the Yankees have scored 10!,Media & Highlights,,
"The Marlins are currently the only team to beat Shohei Ohtani, Jacob Misiorowski and Paul Skenes this year",Facts & Analysis,,
"Cody Bellinger's home/road slash lines since joining the Yankees: .227/.301/.373 on the road, .321/.389/.586 at home",Facts & Analysis,,
Jose Caballero makes a great diving catch to end the inning,Media & Highlights,,
"[NY Times] Home Run Derby to ditch clock, revive swing-based system",News & Official,,
Pete Crow-Armstrong third straight game with a homer,Media & Highlights,,
Paul Goldschmidt hits a 3 run porch shot and it's 9-3 Yankees,Media & Highlights,,
A comebacker hits Sean Newcomb in the shoulder. He has exited the game.,Media & Highlights,,
[Highlight] Jackson Chourio delivers his 10th home run of the season!,Media & Highlights,,
[Highlight] Daniel Schneemann hits a GRAND SLAM off Brandon Sproat to bring the Guardians within one!,Media & Highlights,,
The Cubs (as a team) just hit for the cycle in four straight batters,Facts & Analysis,,
[Highlight] Dansby Swanson hits a 2-run homer!,Media & Highlights,,
[Highlight] Cooper Pratt records his first MLB hit with his family in attendance!,Media & Highlights,,
Colson Montgomery hits a three run homer and it's a new ball game in New York,Media & Highlights,,
[Highlight] Luis Arraez and Bryce Eldridge go back-to-back!,Media & Highlights,,
"For the second time today, the Giants hit back-to-back HRs. This time, it’s Luis Arraez and Bryce Eldridge to make it a 5-0 game in the 2nd.",Media & Highlights,,
[Highlight] Sideline reporter Steve Gelbs inquires how to apply for SNY hazard pay as there's a new low on the Let's Be Frank ballpark hot dog ranking in Cincinnati,Media & Highlights,,
[Highlight] Christian Yelich hits a leadoff home run!,Media & Highlights,,
Jalen Brunson and Josh Hart toss out first pitches at Yankee Stadium after securing the New York Knicks' first NBA championship in 53 years,Media & Highlights,,
[Highlight] Willy Adames with a 400-ft blast to extend the lead!,Media & Highlights,,
[Highlight] Cody Bellinger hits a 2-run HR to give the Yankees an early lead,Media & Highlights,,
Cody Bellinger hits his 11th homer of the season to give the Yankees an early 2-0 lead,Media & Highlights,,
[Matheson] News: The #BlueJays have traded Tyler Heineman to the Angels for cash considerations.,News & Official,,
"[Gelb] Phillies optioned Andrew Painter after the game. They’ll bring an extra reliever for Thursday, then try something different next week with No. 5 spot in rotation.",News & Official,,
"[Passan] The Kansas City Royals are acquiring right-hander Randy Dobnak from Seattle, sources tell ESPN. Dobnak exercised an upward-mobility clause in his contract and will be added to Kansas City’s 40-man roster, starting at Triple-A Omaha.",News & Official,,
"Eduardo Rodriguez recorded his 100th career win today, becoming the ninth Venezuelan-born pitcher with 100 career victories!",Facts & Analysis,,
Bally's is causing problems for the A's Las Vegas Ballpark Dream,News & Official,,
"Eduardo Rodriguez's final line against the Angels: 7.0 IP 1R/ER 1HR, 3BB, 5K",Facts & Analysis,,
Brett Kerry of the Angels just recorded a 5 pitch scoreless inning whilst also committing two errors.,Facts & Analysis,,
"Shohei Ohtani’s final line vs. Rays - 6.0 IP, 7 H, 4 R, 1 BB, 5 K, 91p-63s. ERA up to 1.47.",Facts & Analysis,,
Ohtani’s finger in the 6th inning today. 6 IP 4 ER on the day.,Media & Highlights,,
[Highlight] Freddie Freeman gives the Dodgers the lead with a 2-run shot!,Media & Highlights,,
"[Stebbins] Out in Milwaukee, the Guardians recalled Kahlil Watson from Triple-A Columbus while placing Chase DeLauter (right side rib fracture) on the 10-day injured list (retroactive to June 14).",News & Official,,
Padres extend their lead to five with a Jackson Merrill towering 2-run shot in the 9th,Media & Highlights,,
[Highlight]Kevin McGonigle becomes only the 11th LHB to hit a HR off of Josh Hader,Media & Highlights,,
The Rays take the lead and drop a 4-run 5th inning on Shohei Ohtani,Media & Highlights,,
"[MLBTR] Braves To Select Carlos Carrasco, Jair Camargo",News & Official,,
CORBIN CARROLL GRAND SLAM,Media & Highlights,,
[Highlight] Tommy Troy triple,Media & Highlights,,
"[Highlight] Indie League Manager James Frisbee Ejected, Throws First Base",Media & Highlights,,
Zach Neto starts the scoring early in Arizona with a leadoff HR to center,Media & Highlights,,
"Robbie Ray’s final line for the Giants against the Braves today after taking over the suspended game from yesterday: 6.1 IP, 2 H, 0 R/ER, 2 BB, 8 K, 94 pitches-55 strikes",Facts & Analysis,,
[Keegan Matheson] News: Max Scherzer has been placed on the 15-day IL with back spasms. Chad Dallas is back up with the #BlueJays,News & Official,,
[Highlight] Willy Adames tees off on this pitch!,Media & Highlights,,
"Nolan McLean’s Final Line: 7 IP, 3 H, 1 R/ 0 ER, 9 K, 1 BB, 101 total pitches, 63 for strikes.",Facts & Analysis,,
[Highlight] Kyle Stowers HAMMERS this pitch 436 FEET for his 2nd homer of the day!,Media & Highlights,,
Giants extend the lead in the 5th with back-to-back homers from Rafael Devers & Jung Hoo Lee,Media & Highlights,,
[Highlight] Jung Hoo Lee goes back-to-back with Rafael Devers with his 4th home run of the season,Media & Highlights,,
[Highlight] Rafael Devers hits his 10th home run of the season to extend the Giants' lead over the Braves,Media & Highlights,,
[Highlight] Sandy Alcantara balks in a run. The call confuses the Marlins' manager and players,Media & Highlights,,
"[CloseCallSports] Explains the ""Contreras Rule"" in relation to José Caballero's pitch clock ""antics"" and warning given by ump in Sunday's game against the Blue Jays",Facts & Analysis,,"If the video is the focus, use ""Media & Highlights"". If the text is the focus, use ""Analysis""."
[Highlight] Lane Thomas and Michael Massey go back-to-back for the Royals,Media & Highlights,,
[Highlight] AJ Ewing hits a 2-run double to put the Mets up 7-1,Media & Highlights,,
"In an absolute shit show of a game, the Marlins throw it away on a double play attempt, a run scores, 6-4 Marlins Phillies.",Media & Highlights,,
[Gelb] Phillies are pulling Andrew Painter after two innings. He has a 7.06 ERA in his first 65 big-league innings. It's fair to wonder if he makes his next start.,Facts & Analysis,,
Visual MLB standings board for June 17,Facts & Analysis,,
"[Kostka] Angels designated Trey Mancini for assignment, source said. A great comeback for Mancini, however, who returned to the majors for the first time since 2023 and recorded three hits in his first game last week",News & Official,,
[Highlight] Owen Caissie connects for a solo home run!,Media & Highlights,,
[Highlight]The Phillies tie it right back up in the bottom of the first with an RBI Single from Bohm off of Sandy Alcantara. 2-2 Phillies vs Marlins.,Media & Highlights,,
Was Dusty Baker to blame for Mark Prior and Kerry Wood's injuries?,Discussions & Opinions,,
"[McCosky] Wenceel Perez likely will be unavailable today. He had a freak accident in the training room last night, struck in the face by a plyo band. He remains under evaluation.",News & Official,,
[Highlight] Kyle Stowers connects for a 1st inning 2-run homer!,Media & Highlights,,
Carter Jensen goes yard to lead off the ballgame,Media & Highlights,,
[TJ Stats] Outs Above Average Leaders - Outfielder,Facts & Analysis,,
Opening Day at the original Yankee Stadium (1923),Discussions & Opinions,,
"[Highlight] After going 3 for 3 with a HR last night, Zack Gelof sneakily has a 20 game hitting streak",Media & Highlights,,
[OC] Team Performance on Wednesdays vs Non-Wednesdays,Facts & Analysis,,
"The Milwaukee Brewers’ Mr. Baseball, Bob Uecker, now graces the side of the Wintrust building in downtown Milwaukee!",News & Official,,
[TJStats] My Top 100 MLB Prospects,Discussions & Opinions,,"If a specific stat is used to support a logical claim, use ""Facts & Analysis"". If there is an image that includes statistical information, use ""Facts & Analysis"". If no stat or evidence is included, use ""Discussions & Opinions""."
2x All-Star and World Series Champion Shane Victorino and 5x All-Star and 2001 NL Manager of the Year Larry Bowa are the managers for the 2026 All-Star Futures Game July 12th in Philadelphia,News & Official,,
"[Passan] Ranking top 2026 MLB trade deadline candidates: Skubal, more",Discussions & Opinions,,
The Nationals are winning again. Mike Rizzo reflects on the moves that helped get them there,News & Official,,
"On this date in 1960, Ted Williams became the 4th member of the 500 HR club — here's what the leaderboard looked like on 6/17/1960",Facts & Analysis,,
Four AUSL athletes will compete in MLBx: All-Star 3-on-3 during All-Star Sunday,News & Official,,
"[Bannon] A ‘surprised’ Vladimir Guerrero Jr. on All-Star balloting: ‘If I’m voted first, I’m going’ (Gift Article)",News & Official,,
Twins' Orlando Arcia: Pushed off 40-man roster,News & Official,,
"Pitchers chased the nastiest pitches — and hitters are catching up (MLB usage vs wOBA, 2018?2025)",Facts & Analysis,,
"Marlins announcers frustrated with Heriberto Hernández's decision to challenge a pitch with two outs and no one on in the 4th, leaving the Marlins with no more challeneges for the rest of the game.",Media & Highlights,,
It appears the 2026 MLB All-Star Game hats have leaked thru an ad on TikTok,Discussions & Opinions,,
Junior Caminero surpassed last season's walk total in 346 fewer PA,Facts & Analysis,,
Gregory Soto gets the save to complete the Pirates comeback win,Media & Highlights,,
Scotland fans have made their way to Yankee Stadium!,Media & Highlights,,
[Jomboy Media] Mets manager Carlos Mendoza got ejected for the first time this season,Media & Highlights,,
[Highlight] Brandon Lowe homers to put the Pirates ahead in the 9th!,Media & Highlights,,
"Cal Raleigh winds back to throw a ball to Logan Gilbert, but stops since Gilbert wasn't looking. After the very next pitch, Raleigh nearly hits Gilbert with a ball as Gilbert was not ready again. Fellow catcher Adley Rutschman looks on in shock",Media & Highlights,,
"[Langs] Dodgers win a 1-hour, 52-minute game That’s their shortest 9-inning game since 10/4/92 (1:44) in Houston Shortest at Dodger Stadium since 4/29/82 (also 1:52)",Facts & Analysis,,
"[Highlight] Tanner Scott gets the save again vs Rays, as the Dodgers win 1-0 in a game that lasted only an hour and 52 minutes!",Media & Highlights,,
"Reid Detmers’ final line for the Angels against the D-backs tonight: 7 IP, 3 H, 0 R/ER, 0 BB, 3 K, 90 pitches-63 strikes. It’s his third straight start going 6+ IP and allowing 1 ER or less.",Facts & Analysis,,
"Drew Rasmussen's final line against the Dodgers - 7 IP, 1 R/ER, 6 H, 0 BB, 7 K on 103 pitches. He lowers his ERA to 2.59 but is in line for the loss",Facts & Analysis,,
Bryan Reynolds goes the opposite way for a 2-run shot for his second homer of the night and to tie the game in the 7th,Media & Highlights,,
Zack Gelof’s third hit of the night is a solo homer to pad the A’s lead in the 6th,Media & Highlights,,
Cal Raleigh puts the Mariners in front 3-1 with a 2-RBI Single and Colt Emerson just beat the throw home after getting a great read on the ball,Media & Highlights,,
"Justin Wrobleski’s final line vs Rays: 6 IP, 3 H, 0 R/ER, 0 BB, 5 K, 67 pitches-50 strikes, ERA lowers to 2.72",Facts & Analysis,,
[Highlight] Shohei Ohtani opens the scoring with his 15th homer of the year!,Media & Highlights,,
Mitch Keller gets mildly miffed that Tyler Soderstrom challenged a strike call. Soderstrom wins the challenge.,Media & Highlights,,
Cardinals #3 Prospect Joshua Báez hits his fourth home run of the night in AAA!,Media & Highlights,,
[Highlight] The Texas Longhorns have been eliminated from the College World Series,Media & Highlights,,
In the 150 year history of the Chicago Cubs Dansby Swanson has the 3rd worst batting average ever in a season (minimum 260 PA) and the worst since 1900.,Facts & Analysis,,
"[Challenge] Xavier Edwards believes he is hit by a pitch with bases loaded, goes to first base despite umpire calling no contact, Miami is forced to challenge it. Call stands after review. He then grounds out to end the inning.",Media & Highlights,,
[Highlight] Mike Trout to straightaway center for home run No. 17!,Media & Highlights,,
The A's score three runs on a chaotic play in the 1st. Zack Gelof reaches first on an infield single and is credited with an RBI. Two more runs score on a Spencer Horwitz throwing error with Jacob Wilson scoring the latter second run dodging Brandon Lowe’s tag on his dive.,Media & Highlights,,
"The top 3 AL HR leaders (Alvarez, Buxton, Murakami) play for the Astros, Twins, and White Sox. The teams which have gone the longest without a league HR champion are the Astros, Twins, and White Sox.",Facts & Analysis,,
"[Highlight] Zach Neto hits his 14th homer of the season, extending the Angels lead!",Media & Highlights,,
"The Brewers are now 44-26, their best record through 70 games in franchise history",Facts & Analysis,,
Aaron Ashby is the first pitcher to 10 wins in 2026!,Facts & Analysis,,
Bryan Reynolds tries to challenge a low strike call but is denied by Home Plate Ump Chris Guccione. Reynolds would later hit a single in the at bat.,Media & Highlights,,
Chase Meidroth strikes out and the Yankees take the first game from the White Sox in New York,Media & Highlights,,
Edward Cabrera leaves game with a trainer (lower back) adding to the laundry list of Cubs Pitching injuries.,News & Official,,
"From earlier, Jesús Luzardo's no-hitter is mentioned and gets immediately broken up by Javier Sanoja in the 5th",Media & Highlights,,
Jose Caballero homers off position player Luisangel Acuna and it is 12-2 Yankees,Media & Highlights,,
The Red Sox are officially 0-30 when trailing by 3 runs or more at any point in a game,Facts & Analysis,,
Garrett Mitchell puts the Brew crew ahead with a 440 foot dinger in the 7th,Media & Highlights,,
New Guardians 3B Gabriel Arias back from the IL ties the game with a two-out RBI Single in the 7th,Media & Highlights,,
[Highlight] 300 Home Runs for George Springer!,Media & Highlights,,
"[Seidler] The Seattle Mariners select the contract of Curtis Washington Jr. from Everett AquaSox. As far as I can tell they needed an emergency OF for tonight, could physically only get a player from High-A there bc of travel….",News & Official,,
Yankees #1 prospect George Lombard Jr gets injured while fielding a throw from Austin Wells making a rehab start in AAA,Media & Highlights,,
"Gerrit Cole throws a quality start against the White Sox on the back of 11 runs of run support: 6 IP, 3 H, 2 ER, 2 BBs, 6 Ks. Season ERA of 2.57",Facts & Analysis,,
Kyle Schwarber is the first player to hit 25 home runs in 2026! ?? | MLB Highlights,Media & Highlights,,
Pinch-hit two-run homer for Mark Vientos,Media & Highlights,,
Luisangel Acuna beats out the throw for an RBI single to cut the Yankees lead to 9,Media & Highlights,,
At the WSH v KSR game in DC. Watching the progressive of shirtless folks.,Media & Highlights,,
[Talkin baseball] Randy Arozarena heads to the injured list with hamstring soreness in the midst of the very good season he's having,News & Official,,
[Highlight] Curtis Mead launches a 3-run home run and the Nationals are on top!,Media & Highlights,,
The Twins now lead 5-0 after a three-run blast by Kody Clemens in the top of the 3rd,Media & Highlights,,
Matt Shaw hustles to the plate on a passed ball to add to the lead,Media & Highlights,,
Bruce Turang breaks the scoreless tie with a solo homer,Media & Highlights,,
Chris Murphy's throw goes errant and it's 11-1 Yankees,Media & Highlights,,
"Following Fenway Park this past Sunday, the Tartan Army is planning to also attend Rangers-Marlins at LoanDepot Park on Monday. Scotland plays their final World Cup group stage match against Brazil at Hard Rock Stadium on Wednesday.",News & Official,,
"[Highlight] Paul Goldschmidt blasts a 2-run HR, 9-1 Yankees",Media & Highlights,,
[Highlight] Ben Rice smacks his 20th home run of the season!,Media & Highlights,,
Pete Crow-Armstrong leadoff homer a day after hitting for the cycle,Media & Highlights,,
Trevor Larnach leadoff dinger on the second pitch of the ballgame,Media & Highlights,,
"[Crosby] Per the Atlanta Braves, it's officially ""lower back tightness"" for Michael Harris II (who exited tonight's game)",News & Official,,
[Hayes] Byron Buxton loves the Twins clubhouse vibes. The trade talk? “I don’t give a f***. ... I ain’t said nothing about leaving. Nor will I. I’m a Twin.” (Gift Article),News & Official,,
Mike Trout heads to injured list with hamstring strain amid resurgent season,News & Official,,
[Highlight] Juan Soto leaves the yard in back-to-back at-bats!,Media & Highlights,,
Pitch Speed Metric in MLB,Discussions & Opinions,,
[Britton] Francisco Lindor and Tyrone Taylor will start rehab assignments tomorrow with Binghamton.,News & Official,,
Mike Krukow on Giants players protesting Pride Night: 'What makes San Francisco so great is the acceptance of others',News & Official,,
[Highlight] Ryan McMahon ties the game in the 3rd against the White Sox with a solo homer,Media & Highlights,,
[Highlight] Juan Soto blasts his 16th home run of the year to start the scoring!,Media & Highlights,,
"[Matheson] John Schneider on Mason Fluharty, who picked up the save: “Flu, he’s … What’s the polite way to say this … He’s got a lot of competitiveness in the right spots of his body.”",News & Official,,
the MLBPA has released a statement regarding MLB's Amateur Entry Proposals,News & Official,,
How big a contributor was Cliff Lee to those Phillies teams? I don’t understand the hype around his impact,Discussions & Opinions,,
Mason Fluharty closes out the Jays win on 5 pitches for his second career save to complete the sweep,Media & Highlights,,
"Aroldis Chapman (BOS) vs. Blue Jays: 1 IP, 2 H, 1 ER, 1 K. 20 pitches, 17 strikes",Facts & Analysis,,
[Gelb] Phillies signed old friend Kolby Allard to a minor-league deal. He’s going to Triple A.,News & Official,,
The Twins extend their lead to 6-0 in the 4th courtesy of a Trevor Larnach 2-run dinger to center,Media & Highlights,,
Brandon Valenzuela hits a RBI double off The Green Monster as the Blue Jays are back ahead in the 9th,Media & Highlights,,
Kyle Manzardo hits a solo shot to right to tie the game in the 6th,Media & Highlights,,
Exclusive | Giants’ pitchers give explosive tell-all interview about MLB’s biggest scandal — and how staff and the league betrayed them,News & Official,,
Isiah Kiner-Falefa & Caleb Durbin hit back-to-back jacks off Trey Yesavage to tie the ballgame in the 8th,Media & Highlights,,
"Trey Yesavage’s final line for the Blue Jays against the Red Sox today: 7.1 IP, 4 H, 3 R/ER, 0 BB, 6 K, 95 pitches-66 strikes",Facts & Analysis,,
"A politician in Memphis argued against renovations of the local baseball stadium by saying ""People are playing pickleball"" instead",News & Official,,
Adley Rutschman gets drilled in the head running to 1st base after Colt Emerson tagged Gunnar for the out and tried to make a strong throw to 1st for a double play after double clutching,Media & Highlights,,
"Scott Boras on MLB’s proposals today : “The commissioner’s office has issued an edict to all major-league franchises, development staff, coaching and scouting staff, that you’re frankly not worthy of choosing and developing talent. It’s bad business.”",News & Official,,
Which ballpark you think has the best views?,Discussions & Opinions,,
"The two series at Las Vegas Ballpark are complete. In 6 games, 102 runs were scored (17 per game) and 35 home runs were hit (5.83 per game)",Facts & Analysis,,
[Lang] The first true sign of spring: Kris Bryant to the 60-day injured list.,News & Official,,
Cal Raleigh Heading to Injured List With Oblique Strain,News & Official,,
[MLBTR] Marlins Place Pete Fairbanks On Injured List with nerve irritation,News & Official,,
Baseball’s Top Prospect Just Signed a $140 Million Contract—and He’s Still a Teenager,News & Official,,
If every single MLB player hit FA this winter - which player will get the biggest contract and what would it look like?,Discussions & Opinions,,
Most obviously stupid contracts in the history of MLB?,Discussions & Opinions,,
Baseball Money Blows My Mind. How do you feel about big sport contracts?,Discussions & Opinions,,
Which ballpark that doesn’t exist anymore you would’ve liked to see a game at?,Discussions & Opinions,,
[Phillies] Medical update on Adolis García,News & Official,,
Jazz Chisholm Jr. exits with possible groin injury,News & Official,,
[Royals] Bobby Witt Jr. exited tonight's game with right knee discomfort,News & Official,,
"Aaron Judge has a stress fracture of the first rib on his right side, the Yankees announce. He will get additional imaging done in 4-6 weeks after rest. “Judge is expected to return at some point this season,” says the release.",News & Official,,
Eury Perez will miss eight weeks with a right gracilis strain suffered while stretching in the dugout,News & Official,,
"Garrett Crochet said lat injury is “a lot worse than we thought."" He has ""no idea"" when he will be cleared to throw again",News & Official,,
Oklahoma vs. Georgia: 2026 Men's College World Series Semifinals | Extended highlights,Media & Highlights,,
[Highlight] Dasan Harris gives Oklahoma a 4-run lead with their 3rd home run in the first 4 innings and they are starting to have the Dawgs up against the ropes with their season on the line.,Media & Highlights,,
"[Highlight] Salvador Perez hits his 137th home run at Kauffman Stadium, passing George Brett for the most all-time at their home park",Media & Highlights,,
The A’s put up 4 runs before recording an out as Shea Langeliers & Tyler Soderstrom homer back-to-back,Media & Highlights,,
[Highlight] ANDREW BENINTENDI SENDS A PINCH-HIT GRAND SLAM TO TAKE THE LEAD TO 5-1 AGAINST THE YANKEES,Media & Highlights,,
what's a baseball opinion you'll defend to anyone?,Discussions & Opinions,,
